Variable_Name,Variable Desc,Who,Sales Channel,Product,Activity,Metric,Category
UM_AllChan_AllProd_Karnveal_Holidays_GeoWeightedDays,Independent,UM,AllChan,AllProd,Karnveal_Holidays,GeoWeightedDays,Seasonal
UM_AllChan_AllProd_MarApr_Easter_Holidays_GeoWeightedDays,Independent,UM,AllChan,AllProd,MarApr_Easter_Holidays,GeoWeightedDays,Seasonal
UM_AllChan_AllProd_School_Holidays_GeoWeightedDays,Independent,UM,AllChan,AllProd,School_Holidays,GeoWeightedDays,Seasonal
UM_AllChan_1P_ListPrice_Euros,Independent,UM,AllChan,1P,ListPrice,Euros,Price
UM_AllChan_2P_ListPrice_Euros,Independent,UM,AllChan,2P,ListPrice,Euros,Price
UM_AllChan_3P_ListPrice_Euros,Independent,UM,AllChan,3P,ListPrice,Euros,Price
UM_AllChan_BCS_ListPrice_Euros,Independent,UM,AllChan,BCS,ListPrice,Euros,Price
UM_AllChan_1P_EffectivePriceRed_Euros,Independent,UM,AllChan,1P,EffectivePriceRed,Euros,Price
UM_AllChan_2P_EffectivePriceRed_Euros,Independent,UM,AllChan,2P,EffectivePriceRed,Euros,Price
UM_AllChan_3P_EffectivePriceRed_Euros,Independent,UM,AllChan,3P,EffectivePriceRed,Euros,Price
UM_AllChan_1P_VP2_StepchangeInitial,Independent,UM,AllChan,1P,VP2,StepchangeInitial,VP
UM_AllChan_1P_VP3_StepchangeInitial,Independent,UM,AllChan,1P,VP3,StepchangeInitial,VP
UM_AllChan_1P_VP4_StepchangeInitial,Independent,UM,AllChan,1P,VP4,StepchangeInitial,VP
UM_AllChan_1P_VP5_StepchangeInitial,Independent,UM,AllChan,1P,VP5,StepchangeInitial,VP
UM_AllChan_2P_VP2_StepchangeInitial,Independent,UM,AllChan,2P,VP2,StepchangeInitial,VP
UM_AllChan_2P_VP3_StepchangeInitial,Independent,UM,AllChan,2P,VP3,StepchangeInitial,VP
UM_AllChan_2P_VP4_StepchangeInitial,Independent,UM,AllChan,2P,VP4,StepchangeInitial,VP
UM_AllChan_2P_VP5_StepchangeInitial,Independent,UM,AllChan,2P,VP5,StepchangeInitial,VP
UM_AllChan_3P_VP2_StepchangeInitial,Independent,UM,AllChan,3P,VP2,StepchangeInitial,VP
UM_AllChan_3P_VP3_StepchangeInitial,Independent,UM,AllChan,3P,VP3,StepchangeInitial,VP
UM_AllChan_3P_VP4_StepchangeInitial,Independent,UM,AllChan,3P,VP4,StepchangeInitial,VP
UM_AllChan_3P_VP5_StepchangeInitial,Independent,UM,AllChan,3P,VP5,StepchangeInitial,VP
UM_AllChan_HSIn_RouterFreedom_StepchangeInitial,Independent,UM,AllChan,HSIn,RouterFreedom,StepchangeInitial,VP
UM_AllChan_1P_VP1_Stepchange_BaseParentVar,Independent,UM,AllChan,1P,VP1,Stepchange,VP
UM_AllChan_1P_VP2_Stepchange,Independent,UM,AllChan,1P,VP2,Stepchange,VP
UM_AllChan_1P_VP3_Stepchange,Independent,UM,AllChan,1P,VP3,Stepchange,VP
UM_AllChan_1P_VP4_Stepchange,Independent,UM,AllChan,1P,VP4,Stepchange,VP
UM_AllChan_1P_VP5_Stepchange,Independent,UM,AllChan,1P,VP5,Stepchange,VP
UM_AllChan_2P_VP1_Stepchange_BaseParentVar,Independent,UM,AllChan,2P,VP1,Stepchange,VP
UM_AllChan_2P_VP2_Stepchange,Independent,UM,AllChan,2P,VP2,Stepchange,VP
UM_AllChan_2P_VP3_Stepchange,Independent,UM,AllChan,2P,VP3,Stepchange,VP
UM_AllChan_2P_VP4_Stepchange,Independent,UM,AllChan,2P,VP4,Stepchange,VP
UM_AllChan_2P_VP5_Stepchange,Independent,UM,AllChan,2P,VP5,Stepchange,VP
UM_AllChan_3P_VP1_Stepchange_BaseParentVar,Independent,UM,AllChan,3P,VP1,Stepchange,VP
UM_AllChan_3P_VP2_Stepchange,Independent,UM,AllChan,3P,VP2,Stepchange,VP
UM_AllChan_3P_VP3_Stepchange,Independent,UM,AllChan,3P,VP3,Stepchange,VP
UM_AllChan_3P_VP4_Stepchange,Independent,UM,AllChan,3P,VP4,Stepchange,VP
UM_AllChan_3P_VP5_Stepchange,Independent,UM,AllChan,3P,VP5,Stepchange,VP
UM_AllChan_HSIn_RouterFreedom_Stepchange,Independent,UM,AllChan,HSIn,RouterFreedom,Stepchange,Promo
UM_AllChan_AllProd_ServiceUpdate_Stepchange_TVrelated,Independent,UM,AllChan,AllProd,ServiceUpdate,Stepchange,Promo
